Date,Open,High,Low,Close,Adjusted_close,Volume
2002-06-10,21.4816,21.84,21.3416,21.4816,0.326,277575200
2002-06-11,21.6384,21.7,20.412,20.4624,0.3106,349496000
2002-06-12,20.412,20.748,19.9416,20.0872,0.3049,528718400
2002-06-13,20.02,20.048,19.3816,19.5384,0.2965,352083200
2002-06-14,19.2416,20.3616,18.1104,20.0984,0.305,424900000
2002-06-17,20.2384,20.6304,19.852,20.5408,0.3118,324609600
2002-06-18,20.4176,20.5912,19.9808,20.1488,0.3058,353360000
2002-06-19,17.3712,17.6008,16.8784,17.1192,0.2598,1709467200
2002-06-20,17.1696,17.6008,16.8504,17.108,0.2597,396636800
2002-06-21,16.968,17.4888,16.7888,16.8504,0.2558,445177600
2002-06-24,16.772,17.7296,16.6992,17.2704,0.2621,431933600
2002-06-25,17.3992,17.6792,16.8616,17.1416,0.2602,301201600
2002-06-26,16.8,17.2928,15.9824,16.548,0.2512,558952800
2002-06-27,16.7888,17.2704,16.4192,17.0576,0.2589,251658400
2002-06-28,17.1024,17.8192,17.0016,17.7184,0.2689,269858400
2002-07-01,17.7072,17.8808,17.052,17.0576,0.2589,222689600
2002-07-02,17.0296,17.1584,16.828,16.94,0.2571,305188800
2002-07-03,16.8112,17.6792,16.7496,17.5504,0.2664,199029600
2002-07-05,17.7072,18.7488,17.7072,18.7376,0.2844,161649600
2002-07-08,18.5192,18.6088,17.6792,18.0096,0.2733,211204000
2002-07-09,18.088,18.2896,17.4608,17.528,0.266,226749600
2002-07-10,17.7072,18.172,17.248,17.3208,0.2629,206880800
2002-07-11,17.2592,18.3512,16.968,18.3008,0.2778,373676800
2002-07-12,18.5528,18.788,17.2592,17.5112,0.2658,443492000
2002-07-15,17.4328,18.5976,16.8112,18.228,0.2767,295993600
2002-07-16,18.1496,18.5696,17.612,17.8584,0.2711,446768000
2002-07-17,16.128,16.2008,15.1928,15.6296,0.2372,1215485600
2002-07-18,15.5008,15.5624,14.7504,14.9912,0.2275,559462400
2002-07-19,14.7,15.1704,14.532,14.9576,0.227,385207200
2002-07-22,14.7504,15.1928,14.6104,14.9184,0.2264,430897600
2002-07-23,14.9016,15.1312,14.4424,14.4704,0.2196,399890400
2002-07-24,14.3304,15.2208,14.252,15.1984,0.2307,406593600
2002-07-25,14.9296,14.952,14.0112,14.3584,0.2179,479354400
2002-07-26,14.4592,14.532,13.7984,14.3416,0.2177,207704000
2002-07-29,14.4816,15.0976,14.3696,15.0192,0.228,274960000
2002-07-30,14.8512,15.512,14.56,15.428,0.2342,354838400
2002-07-31,15.4,15.4224,14.9016,15.26,0.2316,310699200
2002-08-01,15.1088,15.4224,14.728,14.8008,0.2246,228956000
2002-08-02,14.7392,15.0024,14.252,14.448,0.2193,179060000
2002-08-05,14.5096,14.7,13.972,13.9888,0.2123,204024800
2002-08-06,14.2072,15.232,14.0784,14.7392,0.2237,272053600
2002-08-07,15.092,15.3608,14.3472,15.0304,0.2281,333474400
2002-08-08,14.7672,15.3776,14.7672,15.2992,0.2322,227348800
2002-08-09,15.2488,15.2488,14.7504,15.0024,0.2277,205716000
2002-08-12,14.9016,15.0192,14.6888,14.9912,0.2275,179765600
2002-08-13,14.9016,15.2096,14.5488,14.588,0.2214,269869600
2002-08-14,14.672,15.3496,14.5376,15.1704,0.2303,399084000
2002-08-15,15.2488,15.7528,15.008,15.6128,0.237,322078400
2002-08-16,15.4504,16.1,15.2824,15.8088,0.2399,245224000
2002-08-19,15.7808,16.2512,15.7192,15.9824,0.2426,216557600
2002-08-20,15.9712,16.0888,15.5288,15.9096,0.2415,186625600
2002-08-21,16.0104,16.24,15.4504,16.1224,0.2447,202428800
2002-08-22,16.2008,16.2512,15.6576,15.9712,0.2424,258311200
2002-08-23,15.8984,15.932,15.4504,15.7304,0.2388,163245600
2002-08-26,15.9488,15.9488,15.1592,15.5288,0.2357,189968800
2002-08-27,15.708,15.7416,14.7112,14.8512,0.2254,262231200
2002-08-28,14.8008,15.12,14.6496,14.7,0.2231,247973600
2002-08-29,14.6496,15.0808,14.5096,14.7,0.2231,164169600
2002-08-30,14.728,15.1424,14.5824,14.7504,0.2239,193519200
2002-09-03,14.4872,14.5488,14.0504,14.0504,0.2133,276936800
2002-09-04,14.2016,14.7784,14.168,14.4816,0.2198,420660800
2002-09-05,14.2184,14.3584,14.0504,14.1792,0.2152,226178400
2002-09-06,14.5096,14.6496,14.2296,14.3808,0.2183,181591200
2002-09-09,14.28,14.532,14.1512,14.3696,0.2181,158244800
2002-09-10,14.4088,14.4872,14.1176,14.3304,0.2175,249468800
2002-09-11,14.3416,14.5992,14.1512,14.2912,0.2169,202412000
2002-09-12,14.2016,14.5096,14.1176,14.14,0.2146,269830400
2002-09-13,14.1288,14.3416,14.0504,14.168,0.215,282951200
2002-09-16,14.14,14.6104,14.1176,14.4984,0.2201,286641600
2002-09-17,14.5712,15.0304,14.5712,14.8008,0.2246,427996800
2002-09-18,14.6888,15.092,14.5208,15.0192,0.228,328641600
2002-09-19,14.7504,14.8008,14.4816,14.5824,0.2213,205945600
2002-09-20,14.6216,14.9408,14.5208,14.868,0.2257,352788800
2002-09-23,14.7616,14.9576,14.448,14.8512,0.2254,263709600
2002-09-24,14.3976,14.8176,14.3976,14.6384,0.2222,250661600
2002-09-25,14.6888,15.1704,14.6496,14.9296,0.2266,254682400
2002-09-26,15.0976,15.1928,14.5488,14.7,0.2231,208644800
2002-09-27,14.4872,14.8512,14.4816,14.7224,0.2235,206152800
2002-09-30,14.3976,14.5712,14.14,14.4984,0.2201,237697600
